series_title,released_year,certificate,runtime,genre,imdb_rating,meta_score,gross,genre1,genre2,genre3
On the Waterfront,1954,A,108 min,"Crime, Drama, Thriller",8.1,91.0,"9,600,000",Crime,Drama,Thriller
Le salaire de la peur,1953,U,131 min,"Adventure, Drama, Thriller",8.1,85.0,,Adventure,Drama,Thriller
Ace in the Hole,1951,Approved,111 min,"Drama, Film-Noir",8.1,72.0,"3,969,893",Drama,Film-Noir,
White Heat,1949,,114 min,"Action, Crime, Drama",8.1,,,Action,Crime,Drama
The Third Man,1949,Approved,104 min,"Film-Noir, Mystery, Thriller",8.1,97.0,"449,191",Film-Noir,Mystery,Thriller
The Red Shoes,1948,,135 min,"Drama, Music, Romance",8.1,,"10,900,000",Drama,Music,Romance
The Shop Around the Corner,1940,,99 min,"Comedy, Drama, Romance",8.1,96.0,"203,300",Comedy,Drama,Romance
Rebecca,1940,Approved,130 min,"Drama, Mystery, Romance",8.1,86.0,"4,360,000",Drama,Mystery,Romance
Mr. Smith Goes to Washington,1939,Passed,129 min,"Comedy, Drama",8.1,73.0,"9,600,000",Comedy,Drama,
Gone with the Wind,1939,U,238 min,"Drama, History, Romance",8.1,97.0,"198,676,459",Drama,History,Romance
La Grande Illusion,1937,,113 min,"Drama, War",8.1,,"172,885",Drama,War,
It Happened One Night,1934,Approved,105 min,"Comedy, Romance",8.1,87.0,"4,360,000",Comedy,Romance,
La passion de Jeanne d'Arc,1928,Passed,110 min,"Biography, Drama, History",8.1,,"21,877",Biography,Drama,History
The Circus,1928,Passed,72 min,"Comedy, Romance",8.1,90.0,,Comedy,Romance,
Sunrise: A Song of Two Humans,1927,Passed,94 min,"Drama, Romance",8.1,,"539,540",Drama,Romance,
The General,1926,Passed,67 min,"Action, Adventure, Comedy",8.1,,"1,033,895",Action,Adventure,Comedy
Das Cabinet des Dr. Caligari,1920,,76 min,"Fantasy, Horror, Mystery",8.1,,,Fantasy,Horror,Mystery
Badhaai ho,2018,UA,124 min,"Comedy, Drama",8.0,,,Comedy,Drama,
Togo,2019,U,113 min,"Adventure, Biography, Drama",8.0,69.0,,Adventure,Biography,Drama
Airlift,2016,UA,130 min,"Drama, History",8.0,,,Drama,History,
Bajrangi Bhaijaan,2015,UA,163 min,"Action, Adventure, Comedy",8.0,,"8,178,001",Action,Adventure,Comedy
Baby,2015,UA,159 min,"Action, Crime, Thriller",8.0,,,Action,Crime,Thriller
La La Land,2016,A,128 min,"Comedy, Drama, Music",8.0,94.0,"151,101,803",Comedy,Drama,Music
Lion,2016,U,118 min,"Biography, Drama",8.0,69.0,"51,739,495",Biography,Drama,
The Martian,2015,UA,144 min,"Adventure, Drama, Sci-Fi",8.0,80.0,"228,433,663",Adventure,Drama,Sci-Fi
Zootopia,2016,U,108 min,"Animation, Adventure, Comedy",8.0,78.0,"341,268,248",Animation,Adventure,Comedy
Bãhubali: The Beginning,2015,UA,159 min,"Action, Drama",8.0,,"6,738,000",Action,Drama,
Kaguyahime no monogatari,2013,U,137 min,"Animation, Adventure, Drama",8.0,89.0,"1,506,975",Animation,Adventure,Drama
Wonder,2017,U,113 min,"Drama, Family",8.0,66.0,"132,422,809",Drama,Family,
Gully Boy,2019,UA,154 min,"Drama, Music, Romance",8.0,65.0,"5,566,534",Drama,Music,Romance
Special Chabbis,2013,UA,144 min,"Crime, Drama, Thriller",8.0,,"1,079,369",Crime,Drama,Thriller
Short Term 12,2013,R,96 min,Drama,8.0,82.0,"1,010,414",Drama,,
Serbuan maut 2: Berandal,2014,A,150 min,"Action, Crime, Thriller",8.0,71.0,"2,625,803",Action,Crime,Thriller
The Imitation Game,2014,UA,114 min,"Biography, Drama, Thriller",8.0,73.0,"91,125,683",Biography,Drama,Thriller
Guardians of the Galaxy,2014,UA,121 min,"Action, Adventure, Comedy",8.0,76.0,"333,176,600",Action,Adventure,Comedy
Blade Runner 2049,2017,UA,164 min,"Action, Drama, Mystery",8.0,81.0,"92,054,159",Action,Drama,Mystery
Her,2013,A,126 min,"Drama, Romance, Sci-Fi",8.0,90.0,"25,568,251",Drama,Romance,Sci-Fi
Bohemian Rhapsody,2018,UA,134 min,"Biography, Drama, Music",8.0,49.0,"216,428,042",Biography,Drama,Music
The Revenant,2015,A,156 min,"Action, Adventure, Drama",8.0,76.0,"183,637,894",Action,Adventure,Drama
The Perks of Being a Wallflower,2012,UA,103 min,"Drama, Romance",8.0,67.0,"17,738,570",Drama,Romance,
Tropa de Elite 2: O Inimigo Agora é Outro,2010,,115 min,"Action, Crime, Drama",8.0,71.0,"100,119",Action,Crime,Drama
The King's Speech,2010,U,118 min,"Biography, Drama, History",8.0,88.0,"138,797,449",Biography,Drama,History
The Help,2011,UA,146 min,Drama,8.0,62.0,"169,708,112",Drama,,
Deadpool,2016,R,108 min,"Action, Adventure, Comedy",8.0,65.0,"363,070,709",Action,Adventure,Comedy
Darbareye Elly,2009,TV-PG,119 min,"Drama, Mystery",8.0,87.0,"106,662",Drama,Mystery,
Dev.D,2009,A,144 min,"Drama, Romance",8.0,,"10,950",Drama,Romance,
Yip Man,2008,R,106 min,"Action, Biography, Drama",8.0,59.0,,Action,Biography,Drama
